Algorithm,Dataset,Core,Eps,Batch,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,numIter,numOrgVerts,numSimpVerts
S-Weld,lucy,32,5.009,-1,3.976942500,-1.000000000,1.314434000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581448500,-1,-1,7017600
S-Weld,lucy,4,5.009,-1,3.711253500,-1.000000000,1.017040900,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581277850,-1,-1,7017600
S-Weld,lucy,64,5.009,-1,10.316742500,-1.000000000,2.680205000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.739830100,-1,-1,7017600
S-Weld,lucy,8,5.009,-1,2.486198000,-1.000000000,1.043256600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582277600,-1,-1,7017600
S-Weld,lucy,16,8.000,-1,6.087440000,-1.000000000,0.978117550,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581883800,-1,-1,14014109
S-Weld,lucy,1,8.000,-1,5.651042500,-1.000000000,0.780163950,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582731550,-1,-1,14014109
S-Weld,lucy,2,8.000,-1,3.272916000,-1.000000000,0.820168850,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582808850,-1,-1,14014109
S-Weld,lucy,32,8.000,-1,4.083217000,-1.000000000,1.202577050,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.584410550,-1,-1,14014109
S-Weld,lucy,4,8.000,-1,2.070386000,-1.000000000,0.825616500,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.584521400,-1,-1,14014109
S-Weld,lucy,64,8.000,-1,11.526020000,-1.000000000,3.697378000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.729319400,-1,-1,14014109
S-Weld,lucy,8,8.000,-1,1.455646000,-1.000000000,0.827680000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.583270300,-1,-1,14014109
S-Weld,lucy,64,7.200,-1,12.156165000,-1.000000000,3.528976000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.720915300,-1,-1,12615552
S-Weld,manu,16,0.10054,-1,0.419061900,-1.000000000,0.177646650,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058651330,-1,-1,1076858
S-Weld,manu,1,0.10054,-1,1.490622000,-1.000000000,0.130341750,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058442215,-1,-1,1076858
S-Weld,manu,2,0.10054,-1,0.809096850,-1.000000000,0.136763050,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058336885,-1,-1,1076858
S-Weld,manu,32,0.10054,-1,0.430523550,-1.000000000,0.186019600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058393020,-1,-1,1076858
S-Weld,manu,4,0.10054,-1,0.489960900,-1.000000000,0.144728150,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.059587120,-1,-1,1076858
S-Weld,manu,64,0.10054,-1,2.709460500,-1.000000000,0.358529000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.065399615,-1,-1,1076858
S-Weld,manu,8,0.10054,-1,0.322304900,-1.000000000,0.146107500,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058603830,-1,-1,1076858
S-Weld,manu,16,6.050,-1,0.404744850,-1.000000000,0.162900600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058220430,-1,-1,2153399
S-Weld,manu,1,6.050,-1,0.916700800,-1.000000000,0.116372800,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058033540,-1,-1,2153399
S-Weld,manu,2,6.050,-1,0.519111300,-1.000000000,0.117098350,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.057882185,-1,-1,2153399
S-Weld,manu,32,6.050,-1,0.717994850,-1.000000000,0.176490750,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058959840,-1,-1,2153399
S-Weld,manu,4,6.050,-1,0.320371400,-1.000000000,0.118862350,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.060301780,-1,-1,2153399
S-Weld,manu,64,6.050,-1,2.766229000,-1.000000000,0.497489750,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.064943480,-1,-1,2153399
S-Weld,manu,8,6.050,-1,0.220520550,-1.000000000,0.118467850,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.060490765,-1,-1,2153399
S-Weld,manu,64,0.1000022,-1,2.868148500,-1.000000000,0.460269250,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.071729090,-1,-1,1939081
S-Weld,manu,64,9.240,-1,3.267437500,-1.000000000,0.495507550,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.067198615,-1,-1,2133906
P-Weld-Async,manu,64,9.240,-1,0.990931335,0.952622450,0.024385240,0.000913540,-1.000000000,-1.000000000,-1.000000000,0.013010105,-1,-1,2133906
P-Weld-Async,manu,16,0.10054,-1,0.553611427,0.491854500,0.037176090,0.012172812,-1.000000000,-1.000000000,-1.000000000,0.012408025,-1,-1,1076858
P-Weld-Async,manu,1,0.10054,-1,1.405177785,1.314574500,0.053352595,0.024794405,-1.000000000,-1.000000000,-1.000000000,0.012456285,-1,-1,1076858
