Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
manu,P-Weld Async,6.050e-2,32,0.052261,0.000658,0.017073,0.002475,0.001757,0.017735,0.012829,0.117880,117.926185,0.117926,3,2155617,2153399
manu,P-Weld Async,6.050e-2,64,0.038464,0.003819,0.017528,0.002432,0.002428,0.021351,0.012655,0.098917,98.963635,0.098964,3,2155617,2153399
manu,P-Weld Async,9.240e-2,1,0.913659,0.009160,0.025925,0.003229,0.010076,0.035093,0.012600,0.969149,969.187800,0.969188,2,2155617,2133906
manu,P-Weld Async,9.240e-2,2,0.467071,0.006644,0.022580,0.003333,0.006491,0.029232,0.012741,0.527035,527.074000,0.527074,3,2155617,2133906
manu,P-Weld Async,9.240e-2,4,0.247928,0.005378,0.020633,0.003535,0.004436,0.026019,0.012646,0.305468,305.503400,0.305503,3,2155617,2133906
manu,P-Weld Async,9.240e-2,8,0.134681,0.003276,0.019986,0.004028,0.003279,0.023266,0.012667,0.193145,193.189600,0.193190,3,2155617,2133906
manu,P-Weld Async,9.240e-2,16,0.083106,0.002045,0.019884,0.004226,0.002910,0.021933,0.012737,0.146070,146.118050,0.146118,3,2155617,2133906
manu,P-Weld Async,9.240e-2,32,0.054297,0.000707,0.017893,0.004025,0.001223,0.018604,0.012634,0.118684,118.728550,0.118729,4,2155617,2133906
manu,P-Weld Async,9.240e-2,64,0.040096,0.000481,0.019138,0.003954,0.002290,0.019624,0.012881,0.104838,104.884715,0.104885,4,2155617,2133906
manu,P-Weld Async,0.1000022,1,1.032734,0.021069,0.034894,0.011587,0.010685,0.055972,0.012602,1.109183,1109.190500,1.109190,2,2155617,1939081
manu,P-Weld Async,0.1000022,2,0.529629,0.014725,0.031021,0.011679,0.006572,0.045755,0.012753,0.608432,608.443900,0.608444,3,2155617,1939081
manu,P-Weld Async,0.1000022,4,0.281762,0.009974,0.034639,0.017520,0.004183,0.044620,0.012919,0.363446,363.483400,0.363483,3,2155617,1939081
manu,P-Weld Async,0.1000022,8,0.156967,0.004806,0.034703,0.018444,0.003454,0.039525,0.012793,0.246467,246.507850,0.246508,3,2155617,1939081
manu,P-Weld Async,0.1000022,16,0.092441,0.002995,0.036233,0.020171,0.003327,0.039231,0.012724,0.215874,215.921000,0.215921,3,2155617,1939081
manu,P-Weld Async,0.1000022,32,0.061176,0.001305,0.037381,0.022176,0.002324,0.038689,0.012867,0.194835,194.886750,0.194887,4,2155617,1939081
manu,P-Weld Async,0.1000022,64,0.041205,0.001101,0.035539,0.019816,0.002937,0.036644,0.012770,0.168505,168.555650,0.168556,4,2155617,1939081
manu,P-Weld Async,0.10054,1,1.349376,0.024776,0.028754,0.009049,0.007190,0.053540,0.012494,1.423414,1423.423500,1.423424,2,2155617,1076858
manu,P-Weld Async,0.10054,2,0.691189,0.018899,0.026385,0.009165,0.004614,0.045293,0.012590,0.767235,767.275600,0.767276,3,2155617,1076858
